Date,Open,High,Low,Close,Adj Close,Volume
2018.2.6,46600,47920,46580,47420,42286.36328,19406450
2018.2.7,48240,48260,45800,45800,40841.73828,23448050
2018.2.8,46120,46620,45980,46000,41020.08594,23251050
2018.2.9,44440,45180,44420,44700,39860.82813,17465000
2018.2.12,45100,46320,45040,45720,40770.40234,15754950
2018.2.13,46200,48060,46200,47540,42393.37109,18923250
2018.2.14,48080,49100,47940,49000,43695.31641,18905900
2018.2.19,49800,49800,47860,48380,43142.43359,15353450
2018.2.20,48040,48160,47220,47400,42268.52344,10122600
2018.2.21,47280,47580,46840,47280,42161.51563,12880200
2018.2.22,47260,47260,46760,46760,41697.80859,8869950
2018.2.23,46760,47800,46760,47220,42108.01563,12423300
2018.2.26,47280,47560,47080,47380,42250.69531,9560650
2018.2.27,48360,48380,47380,47380,42250.69531,9830550
2018.2.28,47380,48100,47000,47060,41965.33203,15162350
2018.3.2,46580,46800,46000,46020,41037.92578,13265500
2018.3.5,45820,46160,45080,45200,40306.69531,14100950
2018.3.6,45920,47100,45820,47020,41929.66016,15423350
2018.3.7,48200,48900,47220,48620,43356.45313,21427050
2018.3.8,49200,49480,48080,49200,43873.66797,19463650
2018.3.9,49440,50540,49240,49740,44355.19922,14304400
2018.3.12,50560,50780,49580,49740,44355.19922,8688950
2018.3.13,50760,51660,50360,51660,46067.33594,20098700
2018.3.14,51020,52000,51000,51760,46156.51563,12713250
2018.3.15,52000,52020,51020,51540,45960.32813,8882450
2018.3.16,51220,51420,50240,51140,45603.64453,12184900
2018.3.19,50620,51340,50440,50740,45246.94141,8218850
2018.3.20,50700,51200,50100,51200,45657.13672,8193250
2018.3.21,51780,51780,51060,51060,45532.29688,8905200
2018.3.22,51060,51780,51040,51780,46174.35156,8454100
2018.3.23,50340,50720,49600,49720,44337.36328,14854950
2018.3.26,49420,50280,49040,50280,44836.74219,10057750
2018.3.27,50320,50460,49080,49980,44569.21875,11874000
2018.3.28,49100,49100,48340,48700,43427.78906,15159450
2018.3.29,48700,49560,48320,49040,44051.19141,10067000
2018.3.30,49080,49900,49080,49220,44212.875,7777100
2018.4.2,49000,49220,48500,48540,43602.05469,7115650
2018.4.3,47880,48140,47280,48120,43224.77734,12768250
2018.4.4,48160,48260,46920,46920,42146.85938,12384200
2018.4.5,47400,49380,47340,48740,43781.71094,13245600
2018.4.6,48000,48580,47400,48400,43476.29688,12532700
2018.4.9,48260,49440,48200,49200,44194.91016,9950400
